onetsoc_code,task_id,occupation_title,task_text_clean,hdbscan_cluster,hdbscan_cluster_assigned,auto_label_v2,auto_label_definition,auto_label_source,variant,was_hdbscan_noise
11-1011.00,8823,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8824,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8827,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8826,Chief Executives,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8834,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8836,Chief Executives,Implement corrective action plans to solve organizational or departmental problems.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8825,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8828,Chief Executives,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8832,Chief Executives,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8831,Chief Executives,Appoint department heads or managers and assign or delegate responsibilities to them.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
