label_id,benchmark_id,label_value,annotator,created_at,notes
lab_bench_legalbench_issue_spotting__inspect_evaluate_and_verify_compliance_and_performance,bench_legalbench_issue_spotting,inspect_evaluate_and_verify_compliance_and_performance,manual-literature-review,2026-04-21T17:30:00Z,remapped from compare_records_against_standards for 24-op taxonomy
lab_bench_legalbench_rule_application__inspect_evaluate_and_verify_compliance_and_performance,bench_legalbench_rule_application,inspect_evaluate_and_verify_compliance_and_performance,manual-literature-review,2026-04-21T17:30:00Z,remapped from compare_records_against_standards + evaluate_compliance (both rolled into inspect/evaluate)
lab_bench_legalbench_rule_application__analyze_and_interpret_data_for_decisions,bench_legalbench_rule_application,analyze_and_interpret_data_for_decisions,manual-literature-review,2026-04-21T17:30:00Z,minor: IRAC application includes an analysis step
lab_bench_legalbench_rhetorical_analysis__analyze_and_interpret_data_for_decisions,bench_legalbench_rhetorical_analysis,analyze_and_interpret_data_for_decisions,manual-literature-review,2026-04-21T17:30:00Z,remapped from extract_or_verify_information_from_documents (span classification = analysis)
lab_bench_financebench_core__analyze_and_interpret_data_for_decisions,bench_financebench_core,analyze_and_interpret_data_for_decisions,manual-literature-review,2026-04-21T17:30:00Z,remapped; open-book QA over filings is central to analyze-and-interpret
lab_bench_browsecomp_core__analyze_and_interpret_data_for_decisions,bench_browsecomp_core,analyze_and_interpret_data_for_decisions,manual-literature-review,2026-04-21T17:30:00Z,remapped from gather_field_evidence/extract_or_verify: multi-hop browsing = gather+synthesize
lab_bench_gaia_core__analyze_and_interpret_data_for_decisions,bench_gaia_core,analyze_and_interpret_data_for_decisions,manual-literature-review,2026-04-21T17:30:00Z,remapped: tool-using QA collapses to analysis output
lab_bench_webarena_core__maintain_and_record_operational_information,bench_webarena_core,maintain_and_record_operational_information,manual-literature-review,2026-04-21T17:30:00Z,remapped from process_or_verify_transactional_artifacts / collect_and_maintain_records
lab_bench_workarena_core__maintain_and_record_operational_information,bench_workarena_core,maintain_and_record_operational_information,manual-literature-review,2026-04-21T17:30:00Z,remapped; ServiceNow enterprise record ops
lab_bench_osworld_core__maintain_and_record_operational_information,bench_osworld_core,maintain_and_record_operational_information,manual-literature-review,2026-04-21T17:30:00Z,remapped; desktop-level record/file operations
lab_bench_officebench_core__develop_and_maintain_instructional_and_operational_documents,bench_officebench_core,develop_and_maintain_instructional_and_operational_documents,manual-literature-review,2026-04-21T17:30:00Z,remapped from write_research_or_analytic_reports; Office file editing = producing structured documents
lab_bench_officebench_core__prepare_reports_and_presentations,bench_officebench_core,prepare_reports_and_presentations,manual-literature-review,2026-04-21T17:30:00Z,secondary: report/presentation outputs
lab_bench_medagentbench_core__maintain_and_record_operational_information,bench_medagentbench_core,maintain_and_record_operational_information,manual-literature-review,2026-04-21T17:30:00Z,remapped from collect_and_maintain_records; FHIR chart upkeep
lab_bench_medagentbench_core__prescribe_treatments_and_medications,bench_medagentbench_core,prescribe_treatments_and_medications,manual-literature-review,2026-04-21T17:30:00Z,minor: some scenarios include medication/order entry
lab_bench_apex_swe_core__design_and_develop_technical_systems_and_applications,bench_apex_swe_core,design_and_develop_technical_systems_and_applications,manual-literature-review,2026-04-21T17:30:00Z,remapped from design_technical_artefact / develop_methods_or_techniques
