label_id,label_name,description,cluster_or_method,frozen,example_onetsoc_tasks,minimum_task_contract,sibling_labels,exclusion_examples,agent_doability,agent_doability_rationale,evaluation_artifact,evaluation_method,n_sub_ops,n_tasks_in_corpus,sub_operation_cluster_ids,source_bucket_coherence_note,notes
inspect_evaluate_and_verify_compliance_and_performance,"Inspect, Evaluate, and Verify Compliance and Performance","Examine systems, sites, documents, activities, or test results against explicit standards, regulations, protocols, or expected conditions to determine whether they are acceptable, compliant, secure, safe, or functioning properly. The worker identifies deviations, vulnerabilities, failures, or violations and may recommend or trigger corrective action.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Evaluate patients' vital signs or laboratory data to determine emergency intervention needs. | Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards. | Inspect or review projects to monitor compliance with building and safety codes or other regulations. | Investigate complaints and suspected violations regarding illegal dumping, pollution, pesticides, product quality, or labeling laws.","The item must provide a concrete subject to examine plus an explicit standard, protocol, regulation, policy, or expected condition that determines whether the subject passes, fails, or needs corrective action.",,,high,"This is largely a text-and-data evaluation operation that an AI agent can perform with standard tools, with the main limitation being that some cases require domain-specific judgment or real-world inspection evidence.",inspection/audit/review report,rubric_on_artifact,8,952,"33,43,26,59,54,23,21,24","The weakest-fit member is cluster 59 because complaint/violation investigation is slightly more forensic than routine compliance checking, but the bucket still coherently represents one operation centered on evaluating conditions against standards and determining corrective action.",
develop_and_maintain_instructional_and_operational_documents,Develop and Maintain Instructional and Operational Documents,"Create, revise, and maintain formal documents that guide work, learning, or service delivery, including curricula, instructional materials, procedures, policies, plans, and related records. The shared operation is producing structured guidance artifacts that can be reviewed for completeness, correctness, and alignment with requirements.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Develop instructional materials, such as lesson plans, handouts, or examinations. | Develop treatment plans, based on scientific rationale, standards of care, and professional practice guidelines. | Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports. | Develop and implement purchasing and contract management instructions, policies, and procedures.","The item must require the worker to produce or revise a formal guidance document or document set with explicit requirements or constraints, so the result can be judged against the stated purpose and content criteria rather than by self-report.",,,high,"This is largely a text-and-document production task that an AI agent can execute with standard tools, with the main bottleneck being domain-specific correctness and stakeholder requirements.",document package,rubric_on_artifact,10,758,"29,34,44,31,19,30,38,39,8,4","The weakest-fit member is develop treatment plans, which is more individualized case planning than general document development, but the bucket still reads as one broad document-creation operation rather than a merger that must be split.",
supervise_and_coordinate_work,Supervise and Coordinate Work,"Direct, coordinate, schedule, and monitor the work of people, teams, or units so ongoing activities are carried out effectively and in line with priorities, procedures, and constraints. This includes assigning duties, aligning interdependent tasks, and reviewing performance or progress, but not doing the underlying technical work itself.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Supervise the work of office, administrative, or customer service employees to ensure adherence to quality standards, deadlines, and proper procedures, correcting errors or problems. | Plan, schedule, or coordinate project activities to meet deadlines. | Prepare and issue work schedules, deadlines, and duty assignments for office or administrative staff. | Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.","A benchmark item must expose a real staffing, team, or cross-unit coordination situation with explicit constraints or dependencies, so the worker must assign, align, or supervise work rather than merely describe management in the abstract.",,,high,"The operation is largely text-based management work that can be executed and checked through schedules, coordination plans, and supervision logs, with no special licensure or physical manipulation required.",work assignment and coordination plan,rubric_on_artifact,6,538,"62,58,36,61,27,12","The weakest-fit member is cluster 12 (Coordinate emergency response), which is a domain-specific instance of coordination rather than a separate operation; the bucket is coherent as one broader supervise/coordinate-work operation.",
consult_and_coordinate_with_others,Consult and Coordinate With Others,"Exchange information with other people to evaluate a case, clarify needs, resolve problems, and align next steps. This includes collaborating on substantive work and directing people to appropriate external services when needed.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems. | Collaborate with others in the organization to ensure successful implementation of chosen problem solutions. | Refer patients, clients, or family members to community resources or to specialists as necessary. | Confer with medical professionals regarding image-based diagnoses.","The benchmark item must present a concrete case or work problem that requires the worker to communicate with other people to evaluate, coordinate, resolve, or redirect next steps, and the output must be checkable as a specific communication or referral artifact.",,,high,"Mostly text- and communication-based coordination that an AI agent can perform with standard tools, with the main limitation being real-world stakeholder interaction and judgment calls.",case coordination log or referral record,rubric_on_artifact,4,433,"60,18,15,14","The weakest-fit member is cluster 15 because referral is a downstream action rather than pure consultation, but all four themes still form one coherent operation around professional coordination and case/problem handling.",
advise_and_counsel_people,Advise and Counsel People,"Provide guidance, counseling, information, feedback, or recommendations to individuals or groups to help them understand issues, make decisions, or follow a plan. The shared operation is interpersonal advisory support, whether the topic is academic, career, technical, policy, or personal in nature.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans. | Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes. | Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems. | Advise students on issues such as course selection, progress toward graduation, and career decisions.","The benchmark item must expose a concrete person- or group-facing advisory situation with an explicit issue, decision, or plan to address, so the worker’s output can be judged as relevant, accurate, and appropriately tailored rather than generic information-sharing.",,,high,"This is primarily a text-and-dialogue operation that an AI agent can perform well using retrieval and drafting tools, with the main limitation being the need for real-world judgment and stakeholder context.",advice or counseling record,rubric_on_artifact,5,431,"37,52,13,6,28","All members fit a single broad advisory operation; the weakest-fit member is provide technical support, but it still centers on giving assistance and troubleshooting to another person or team rather than doing the underlying work, so the bucket is a reasonable single-operation merge.",
analyze_and_interpret_data_for_decisions,Analyze and Interpret Data for Decisions,"Examine data, records, measurements, or test outputs to identify patterns, relationships, anomalies, risks, or likely outcomes that support a decision, recommendation, forecast, or plan. The worker turns raw or summarized information into an evaluable judgment or inference rather than merely collecting or reporting it.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand. | Analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.","The benchmark item must provide concrete data or diagnostic information and require an explicit interpretive conclusion that supports a decision, forecast, recommendation, or classification, not just extraction, transcription, or description of the inputs.",,,high,This is largely a text/data analysis operation that an AI agent can perform with standard analytical tools; the main bottleneck is domain-specific judgment rather than physical action.,analysis memo or decision-support report,rubric_on_artifact,2,414,"47,32","The bucket is coherent: both members are instances of interpreting information to support decisions, with diagnostic interpretation as a domain-specific subtype of the broader data-analysis operation.",
maintain_and_record_operational_information,Maintain and Record Operational Information,"Create, update, preserve, and retrieve work-related records, logs, histories, and databases that document ongoing operations or case activity. The shared operation is the accurate capture and maintenance of factual information for later organizational, regulatory, or professional use.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Record, review, or maintain daily logs, reports, maintenance, and other records associated with geothermal operations. | Maintain databases of logistics information. | Collect, record, and maintain patient information, such as medical history, reports, or examination results. | Record repairs and maintenance performed.","The item must require the worker to capture or maintain factual information about real work activity in a concrete record artifact, and it must specify what information is being documented and the purpose of keeping it.",,,high,"This is largely a text-and-data handling task that an AI agent can perform with standard tools, with the main bottleneck being access to the underlying facts rather than physical work.",record set or database entry,rubric_on_artifact,4,348,"7,46,10,25","The weakest-fit member is cluster 10, which adds case-history gathering, but the bucket still coheres as one operation centered on recording and maintaining operational or case information rather than analysis or action.",
prepare_reports_and_presentations,Prepare Reports and Presentations,"Compile, synthesize, and communicate completed findings, results, status, recommendations, or compliance information in a written, oral, tabular, or graphic artifact (report, presentation, publication, brief, summary) for a specified audience. The shared operation is producing the communicative artifact, not performing the underlying research or analysis that feeds it.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text. | Present research findings at scientific conferences and in papers written for scientific journals.","The item must require producing a concrete communicative artifact summarizing completed findings for a specified audience, with enough source material or results to distinguish reporting from doing the underlying research or analysis itself.","conduct_scientific_research,analyze_and_interpret_data_for_decisions,develop_and_maintain_instructional_and_operational_documents",Plan or conduct a research study to produce new findings (that is conduct_scientific_research). | Draft a policy or procedure manual for internal operations (that is develop_and_maintain_instructional_and_operational_documents).,high,"Given source findings and an audience specification, drafting reports, presentations, and briefs is a textbook knowledge-work operation for an LLM agent with standard writing and charting tools.",report or presentation document,rubric_on_artifact,2,307,"45,9","The weakest-fit member is 'Conduct scientific research,' which is a different upstream operation than reporting findings, so the bucket is a near-merger of research execution and research communication rather than a single pure operation. | Split out of the emergent bucket 'Produce and Communicate Research Reports' at promotion time.",
design_and_develop_technical_systems_and_applications,Design And Develop Technical Systems And Applications,"Create, evaluate, and specify technical systems, components, or digital applications, including selecting or validating designs and modifying them to meet functional, performance, or efficiency requirements. The shared operation is to turn requirements and constraints into a concrete system or software design decision or artifact.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Design and develop computer hardware and support peripherals, including central processing units (CPUs), support logic, microprocessors, custom integrated circuits, and printers and disk drives. | Design integrated mechanical or alternative systems, such as mechanical cooling systems with natural ventilation systems, to improve energy efficiency. | Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.","Must expose a concrete technical system, component, or software/application artifact and require the worker to evaluate, specify, design, or modify it against explicit functional, performance, compatibility, efficiency, or environmental criteria.",,,medium,"An AI agent can draft designs, compare options, and produce specifications or code, but real-world validation of technical performance and efficiency often requires domain expertise and physical or production testing.",design specification or implementation artifact,expert_review,3,266,"48,51,55",The weakest-fit member is cluster 51 because its energy-efficiency emphasis is a design constraint rather than a distinct operation; overall this is one coherent operation centered on technical design/specification and development.,
assess_eligibility_or_financial_status,Assess Eligibility or Financial Status,"Evaluate whether a person, application, or account meets a defined standard by gathering and reviewing relevant information, often through interview, records, or financial analysis. The shared operation is making a qualification, admissibility, risk, or feasibility judgment against explicit criteria.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans. | Interview and investigate applicants for public assistance to gather information pertinent to their applications.","The benchmark item must provide explicit criteria and sufficient applicant, recipient, or financial information so the worker can make a concrete eligibility, admissibility, qualification, risk, or feasibility determination rather than merely summarize facts.",,,high,"This is largely a text-and-data analysis task that an AI agent can perform with standard retrieval and calculation tools, though final judgments may depend on policy interpretation.",eligibility or financial assessment memo,rubric_on_artifact,2,247,"50,11","The weakest-fit member is 'Assess financial status,' but it still fits the same higher-level operation of evaluating status against criteria; this bucket is coherent as one operation and does not need splitting.",
