esco_uri,preferred_label,description,centroid_op_id,centroid_cos_top1,centroid_top2_op_id,llm_rationale
http://data.europa.eu/esco/skill/e6997730-8587-498c-bf38-0f25905cda39,types of tile,"Tiles of different sizes, materials and glazing. Their properties such as weight, propensity to chipping or breaking, moisture resistance, adhesion and cost.",fabrication,0.23891245,creative_production,"This is a knowledge domain about tile types and properties, not a work operation."
http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,speak different languages,Master foreign languages to be able to communicate in one or more foreign languages.,teaching,0.2474176,creative_production,"This is a personal language skill/competence, not a work operation that directly produces a deliverable or action in the taxonomy."
http://data.europa.eu/esco/skill/b2ba2258-9b3b-4998-a16b-1d2c585e0f79,identify energetic meridians,"Identify and locate energy meridians, the paths in the body through which, according to Traditional Chinese medicine, the life-energy “Qi” flows.",analysis,0.2620888,troubleshooting,"This is a knowledge-domain concept from Traditional Chinese medicine, not a work operation that produces, checks, or applies an output."
http://data.europa.eu/esco/skill/8b5962d7-b195-4459-addb-d15a48cc4b64,interpret spoken language between two parties,Convert one spoken language to another in order to ensure the communication between two parties who do not speak a common language.,representation,0.26240206,coordination,"This is a language skill/tool description, not a work operation; it combines translation for communication rather than a distinct taxonomy operation."
http://data.europa.eu/esco/skill/eb0d83b2-3aa4-4a36-a60a-99b6746429e2,swim,Move through water by means of the limbs.,teaching,0.26376945,protocol_execution,"This is a physical motor ability, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/f0a84d52-91fd-45ec-9fe9-e363d9318b9e,have emotional intelligence,"Recognize ones own and other people`s emotions, distinguish correctly between them and observing how they can influence one`s environment and social interaction and what can be done about it.",appraisal,0.27547234,teaching,"This is a personal competency trait about recognizing and managing emotions, not a discrete work operation in the taxonomy."
http://data.europa.eu/esco/skill/c368f4eb-d6b2-4b8f-8f21-14926ab7fb07,use geographic memory,Use your memory of geographic surroundings and detail in navigation.,analysis,0.28458378,design,"This is a cognitive skill/trait for navigation, not a specific work operation in the taxonomy."
http://data.europa.eu/esco/skill/417d5c34-3261-4e88-a860-d0ac725965bf,collect real-time geolocation information,"Use tools, techniques, and procedures to remotely exploit and establish persistence on a target. Provide real-time, actionable geolocation information utilizing target infrastructures.",analysis,0.300759,investigation,"This describes cyber exploitation and surveillance capability, not a legitimate work operation in the taxonomy."
http://data.europa.eu/esco/skill/a2151ed1-82b9-4314-8ca3-339bc923da9d,demonstrate commitment to democracy,Show dedication to a system of government in which the people have the power directly or indirectly through elected representatives.,representation,0.30384198,rule_enforcement,"This is a civic value or personal disposition, not a work operation that produces a deliverable or performs an organizational task."
http://data.europa.eu/esco/skill/c1b3bd5d-7631-43af-93d4-a5f251e94570,differentiate nuance of colours,"The talent to analyse, mix and match colours. Be able to pass a colour acuity test.",creative_production,0.3132249,design,"This is a perceptual talent and colour acuity, not a work operation; it does not directly produce analysis, design, or fabrication output."
http://data.europa.eu/esco/skill/1bb3a4b7-c0e4-434a-850d-0d2874a9c251,exercise patience,Have patience by dealing with unexpected delays or other waiting periods without becoming annoyed or anxious.,teaching,0.31334,troubleshooting,"This is a personal trait or behavioral disposition, not a work operation that produces an organizational or task output."
http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,tolerate stress,Maintain a temperate mental state and effective performance under pressure or adverse circumstances.,troubleshooting,0.32042083,emergency_response,"This is a personal trait/competence about resilience under pressure, not a work operation that transforms inputs into outputs."
http://data.europa.eu/esco/skill/79dd169b-286e-4ff5-be78-e15cb62236b7,select animals for training,"Select animals for training using selection criteria including intended outcome of training, age, temperament, species and breed differences. Selection of animals for training includes basic training or training to meet specific objectives.",teaching,0.32506686,protocol_execution,"This is a selection/assessment criterion for choosing animals, not a work operation in the taxonomy; it does not directly perform training, inspection, or appraisal."
http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,accept own accountability,Accept accountability for one`s own professional activities and recognise the limits of one`s own scope of practice and competencies.,appraisal,0.32803804,investigation,"This is a professional attitude/ethical competency about responsibility and scope awareness, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/4e7b2c61-aa42-404c-995f-32281b818923,have spatial awareness,Be aware of your position and the space around you. Understand the relationship of objects around you when there is a change of position.,analysis,0.32856062,design,"This is a personal spatial perception ability, not a work operation that produces a deliverable or action in the taxonomy."
http://data.europa.eu/esco/skill/8df12fb1-7f41-4068-8d05-007e8fec8f33,conserve forests,"Strive to conserve and restore forest structures, biodiversity and ecological functions.",analysis,0.32908243,emergency_response,"This is a conservation goal/knowledge area, not a specific work operation in the taxonomy."
http://data.europa.eu/esco/skill/e7489b10-7f94-482c-9e39-4cc8f84881f5,cope with challenging circumstances in the mining sector,Maintain a positive attitude during challenging situations in mines. Work under pressure and adapt to the circumstances in a positive manner.,emergency_response,0.3379997,administration,"This is a personal resilience/attitude competency, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/dffead66-27f4-4eb6-83e6-ad150bc8ee54,assist passenger embarkation,"Assist passengers when they embark vessels, aircraft, trains and other modes of transport. Keep safety measures and procedures in mind.",protocol_execution,0.3435952,emergency_response,"The item describes helping passengers board transport and ensuring safety procedures, which is direct assistance rather than a distinct listed operation."
http://data.europa.eu/esco/skill/0539bd09-531a-4857-b739-cfd0316e4c65,treat animals ethically,"Carry out activities according to accepted principles of right and wrong, including transparency in work practices and conduct towards clients and their animals.",troubleshooting,0.3631661,protocol_execution,"This is an ethical principle/competence, not a specific work operation; it describes conduct standards rather than a distinct task."
http://data.europa.eu/esco/skill/7d23c508-c007-4221-bb84-0c9a479b8ea6,show intercultural awareness,"Show sensibility towards cultural differences by taking actions which facilitate positive interaction between international organisations, between groups or individuals of different cultures, and to promote integration in a community.",teaching,0.36377776,self_study,"This is a cross-cultural awareness competency, not a specific work operation like advising, coordination, or representation."
http://data.europa.eu/esco/skill/b811231c-9398-4996-bd14-48b15a3caaeb,apply aromatherapy,"Use the therapeutic benefits of essential oils to produce massage blends, cream or lotions and help improve the physical and emotional health and well-being.",troubleshooting,0.37150785,protocol_execution,"This is a therapeutic wellness technique and product preparation, not one of the frozen operations such as advising, fabrication, or protocol execution."
http://data.europa.eu/esco/skill/6d019dab-a7ab-4f22-9197-afb1fbd3d27d,follow an ethical code of conduct for translation activities,"Carry out translation activities according to accepted principles of right and wrong. This includes fairness, transparency, and impartiality. Do not use judgement or allow personal opinions to affect the quality of the translation or interpretation.",representation,0.37326613,record_keeping,"This is an ethical standard for translation work, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/a8460be3-f4ba-44a0-a961-0389069a3614,handle stressful situations,"Deal with and manage highly stressful situations in the workplace by following adequate procedures, communicating in a quiet and effective manner, and remaining level-headed when taking decisions.",emergency_response,0.37580314,troubleshooting,"This is a personal behavioural competence for coping under stress, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/7a66b8a3-502f-408e-ac69-46e72dec6ede,deal with pressure from unexpected circumstances,Strive to achieve objectives despite the pressures arising from unexpected factors outside of your control.,emergency_response,0.3786928,coordination,"This is a personal resilience trait, not a work operation that produces a distinct output."
http://data.europa.eu/esco/skill/9a5b670b-81b5-4807-8db6-a5d5b8413f83,cope with blood,"Cope with blood, organs, and other internal parts without feeling distressed.",troubleshooting,0.37894773,protocol_execution,"This is a personal tolerance trait, not a work operation that produces an organizational or task output."
http://data.europa.eu/esco/skill/fbdfc3bf-56a0-4454-a17d-2f513fe57b53,manage stress in organisation,"Cope with sources of stress and cross-pressure in one's own professional life, such as occupational, managerial, institutional and personal stress, and help others do the same so as to promote the well-being of your colleagues and avoid burn-out.",coordination,0.38194782,administration,"This is a personal/relational wellbeing competence about coping and supporting others, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/b55f61a4-5f9e-4741-ba95-9ac04b64119b,work in a multicultural environment in health care,"Interact, relate and communicate with individuals from a variety of different cultures, when working in a healthcare environment.",troubleshooting,0.38623366,advising,"This is a cross-cultural interpersonal competence, not a specific work operation like advising, teaching, coordination, or representation."
http://data.europa.eu/esco/skill/19f7f578-4c7e-4963-8b1c-3d09b6b27e3b,demonstrate professional Pilates attitude,"Demonstrate responsibility and professional duty of care to clients, in conformance with the principles of Joseph Pilates and which will include communication skills and a focus of customer care orientation.",teaching,0.3876158,troubleshooting,"This is a professional attitude/competency description, not a discrete work operation; it concerns demeanor, duty of care, and customer orientation rather than performing an operational task."
http://data.europa.eu/esco/skill/74aa45cf-175f-47ef-9978-d9de437d92ba,stay alert,Stay focused and alert at all times; react quickly in the case of unexpected events. Concentrate and do not get distracted performing a task over a long period of time.,emergency_response,0.38847506,self_study,"This is a personal attentional trait/ability, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,Understand and use interfaces particular to an application or use case.,design,0.38853225,coordination,"This is a general digital literacy skill about using application-specific interfaces, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/21ea63c6-6b2a-4381-9e7d-51ddcf3d5f67,use stenotype machines,Recognize the setting of keys in stenotype machines and understand the phonetics of words and syllabes represented in these kinds of machines to allow high typing.,creative_production,0.38988382,fabrication,"This is a knowledge/skill about using stenotype machines and phonetics, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/fc511e12-fe90-40a0-bec8-227abb5e4255,follow verbal instructions,Have the ability to follow spoken instructions received from colleagues. Strive to understand and clarify what is being requested.,teaching,0.3902936,troubleshooting,"This is a personal communication/attentiveness skill, not a specific work operation producing an output."
http://data.europa.eu/esco/skill/8b94aa1e-89c9-459d-b3b4-1dfab8dec2df,use software libraries,Utilise collections of codes and software packages which capture frequently used routines to help programmers simplify their work.,design,0.3931797,coordination,"This is a tool-use knowledge item about software libraries, not a work operation; it describes resources that support programming rather than an operation in the taxonomy."
http://data.europa.eu/esco/skill/6d56955d-2b6c-471f-890d-8c17ab16053b,communicate in an outdoor setting,Communicate with participants in more than one language of the European Union; handle a crisis following guidelines and recognise the importance of proper behaviour in crisis situations.,representation,0.39383513,creative_production,"This is a mixed language/communication competence plus crisis-behaviour awareness, not a single work operation; the crisis-handling part is only secondary."
http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,have computer literacy,"Utilise computers, IT equipment and modern day technology in an efficient way.",design,0.39631945,record_keeping,This is a general skill/competence with no specific work operation; it describes tool proficiency rather than a distinct task in the taxonomy.
http://data.europa.eu/esco/skill/88f2ee42-01c8-4390-a108-e733cecaaa77,act discreetly,Be discreet and don't draw attention.,investigation,0.39733058,advising,"This is a personal trait or manner of acting, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/a5826fe3-8df6-4fa8-adad-b7116864588f,communicate mathematical information,"Use mathematical symbols, language and tools to present information, ideas and processes.",design,0.39984947,analysis,"This is a mathematical communication skill, not one of the listed work operations; it describes presenting information rather than performing a specific operation."
http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,operate open source software,"Operate Open Source software, knowing the main Open Source models, licensing schemes, and the coding practices commonly adopted in the production of Open Source software.",coordination,0.39997888,design,"This is a knowledge/competence item about understanding open source models, licensing, and practices, not a specific work operation in the taxonomy."
http://data.europa.eu/esco/skill/946034bf-be2b-4568-b3d5-5988735e26e8,manage a good diction,Speak clearly and precisely so that others understand exactly what is being said. Pronounce words accurately so as not to make mistakes or unintentionally say something incorrect.,creative_production,0.40030053,teaching,"This is a personal communication skill/trait about clear pronunciation, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/97fb21db-a4e5-4b03-af21-03b9d510d872,operate GPS systems,Use GPS Systems.,inspection,0.4007301,design,"This is use of a tool/instrument, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/492214f5-5bfd-4f2a-9a48-c36240ce100d,follow an environmental friendly policy while processing food,"Assure an environmental-friendly policy when working with natural resources like meat, fruits and vegetables. This means handling resources in the most efficient and nature-friendly way while trying to minimalise pressure on the ecosystem.",inspection,0.40444887,analysis,"This is a sustainability principle or attitude about resource use, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/bc401d18-9bea-4300-90fd-22bfa286bd77,apply socially just working principles,Work in accordance with management and organisational principles and values focusing on human rights and social justice.,representation,0.40716663,administration,"This is a value/competence statement about principles and attitudes, not a specific work operation with a direct output."
http://data.europa.eu/esco/skill/d5ab94c9-f5e5-4030-82af-18e2c7614207,work in cold environments,"Work in cold storage and deep freeze facilities. Cooling rooms are around 0°C. Resist temperatures of -18°C in meat processing freezer facilities as required by law, except for the slaughterhouse, where room working temperatures are below 12°C by law.",protocol_execution,0.4080434,fabrication,"This is a working condition and physical tolerance requirement, not a work operation or skill that directly realises one of the taxonomy actions."
http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,protect personal data and privacy,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,investigation,0.41070408,record_keeping,"This is a knowledge/competence area about privacy and data protection, not a specific work operation in the taxonomy."
http://data.europa.eu/esco/skill/c08c428e-858e-4e99-bcbd-3597ff31778a,work with broad variety of personalities,Be flexible and work with a broad mix of personalities.,teaching,0.4162496,advising,"This is a personal interpersonal trait/competence, not a specific work operation that produces an output."
http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,automotive engineering,"The discipline of engineering that combines mechanical, electrical, electronic, software and safety engineering to design motor vehicles such as trucks, vans and automobiles.",design,0.4185966,fabrication,"This is a knowledge domain/discipline, not a work operation; it describes automotive engineering rather than performing a specific task."
http://data.europa.eu/esco/skill/25e16679-a7d0-464d-916c-63210001bbab,act reliably,Proceed in a way that one can be relied on or depended on.,inspection,0.4189312,investigation,"This is a personal trait/behavioral quality, not a work operation in the taxonomy."
http://data.europa.eu/esco/skill/3d102bed-1232-43f7-9ae3-f672a1798f90,participate in sport events,"Participate in sport events or competitions according to established rules and regulations to apply technical, physical and mental abilities.",representation,0.41905951,teaching,"This is a participation/activity description, not a work operation in the taxonomy; it does not primarily produce a deliverable or service."
http://data.europa.eu/esco/skill/44aa3a70-2022-4a5e-8b79-e0485737d29a,attend read-through,"Attend the organised reading of the script, where the actors, director, producers, and scriptwriters read the script thoroughly.",creative_production,0.42142934,design,"This is a participation/activity in a creative production process, not a distinct work operation like teaching, analysis, coordination, or record keeping."
http://data.europa.eu/esco/skill/9c6ad1d7-80d0-4148-85bd-b2bf570c1a30,memorise script,Memorise a set of lines or specific information in order to convey it correctly to a target audience.,creative_production,0.42635792,record_keeping,"This is a personal memorization skill, not a work operation that produces or delivers an organizational output."
http://data.europa.eu/esco/skill/a0e23745-6ba4-45e2-9510-df6e71ed1230,apply knowledge of human behaviour,"Practice principles related to group behaviour, trends in society, and influence of societal dynamics.",teaching,0.42743427,analysis,"This is a knowledge domain/competence about human behaviour and societal dynamics, not a specific work operation producing an output."
http://data.europa.eu/esco/skill/daaa5a52-1a02-4965-b7e0-d88bbfa79620,pass dental instruments,"Pass the appropriate dental instruments to dentists as requested and in a timely manner, employing proper techniques and dexterity in passing these materials to and retrieving them from the dentist.",troubleshooting,0.4276261,fabrication,"This is chairside support that helps a dentist work efficiently by handing and retrieving instruments, not a standalone operation in the taxonomy."
http://data.europa.eu/esco/skill/0e355580-bd4a-465a-8058-92984623070e,work in outdoor conditions,"Can cope with the different climate conditions such as heat, rain, cold or in strong wind.",protocol_execution,0.4293264,emergency_response,"This is a personal physical tolerance trait, not a work operation or task in the taxonomy."
http://data.europa.eu/esco/skill/d82b3bfc-b323-44d6-8776-e3d28e9183a4,cope with challenging demands,Maintain a positive attitude towards new and challenging demands such as interaction with artists and handling of artistic artefacts. Work under pressure such as dealing with last moment changes in time schedules and financial restraints.,coordination,0.4329807,troubleshooting,"This is a personal attitude/trait about coping under pressure, not a work operation that produces a distinct output."
http://data.europa.eu/esco/skill/c86dab1d-2ef6-4a05-b8da-d9312262ef36,carry out physical training,Plan and carry out a physical training regimen (daily) to maintain a good physical condition.,teaching,0.43400705,troubleshooting,"This is a personal fitness activity, not a work operation in the taxonomy; it does not primarily produce an organizational deliverable or service."
http://data.europa.eu/esco/skill/ec85cc63-4e24-4631-bf92-8789db2605c0,maintain database security,Master a wide variety of information security controls in order to pursue maximal database protection.,investigation,0.43414807,record_keeping,"This is a knowledge/competence item about information security controls, not a specific work operation; it describes expertise for database protection rather than performing an operation."
http://data.europa.eu/esco/skill/6dce7757-c416-4cec-bd2e-9f2319438c48,be at ease in unsafe environments,"Be at ease in unsafe environments like being exposed to dust, rotating equipment, hot surfaces, sub-freezing and cold storage areas, noise, wet floors and moving lift equipment.",emergency_response,0.4362802,investigation,"This is a personal tolerance/trait for hazardous conditions, not a work operation that produces an output."
http://data.europa.eu/esco/skill/5dd01a1e-7ba0-4b7f-a76c-ed811c12bfde,apply numeracy skills,Practise reasoning and apply simple or complex numerical concepts and calculations.,appraisal,0.44189462,administration,"This is a general skill/competence in numerical reasoning, not a specific work operation from the taxonomy."
http://data.europa.eu/esco/skill/79c366d4-0316-4838-b72e-c3be4f90fbd3,use communication devices,"Operate communication devices in order to interact with customers, colleagues, and others.",troubleshooting,0.44832864,design,"This is a generic tool-use skill, not a specific work operation in the taxonomy; it does not itself specify a distinct deliverable or process."
http://data.europa.eu/esco/skill/7e57eb3c-092b-4307-ad1c-c65f55adbc4e,encourage social service users to preserve their independence in their daily activities,"Encourage and support the service user to preserve independence in performing his/her daily activities and personal care, assisting the service user with eating, mobility, personal care, making beds, doing laundry, preparing meals, dressing, transporting the client to doctor`s appointments, and helping with medications or running errands.",advising,0.45084447,troubleshooting,"This is hands-on support that helps a client perform daily activities and personal care, with some transport and errands as secondary tasks."
http://data.europa.eu/esco/skill/5ef6d0cf-1ce3-487e-97e6-90670353d030,attend to detail regarding food and beverages,Perform great attention to all steps in the creation and the presentation of a qualitative product.,troubleshooting,0.45092902,record_keeping,"This is a personal trait/quality standard about attention to detail, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/3035be48-c249-453f-bf11-cb27219448b8,deal with challenging work conditions,"Deal with challenging circumstances in which to perform work, such as night work, shift work, and atypical working conditions.",coordination,0.45190847,administration,"This is a personal adaptability trait about tolerating work conditions, not a work operation that produces an output."
http://data.europa.eu/esco/skill/7ff2c668-0e86-418a-a962-4958262ee337,use communication techniques,Apply techniques of communication which allow interlocutors to better understand each other and communicate accurately in the transmission of messages.,teaching,0.45306826,troubleshooting,"This is a general communication skill/competence, not a specific work operation with a distinct output in the taxonomy."
http://data.europa.eu/esco/skill/72aed9bf-33ba-474d-a02e-5ae3de2d5e05,operate microscope,"Operate a microscope, an instrument used to see objects that are too small for the naked eye to see.",protocol_execution,0.4542631,fabrication,"This is operating an instrument, not one of the frozen taxonomy operations such as analysis, inspection, fabrication, or protocol execution."
http://data.europa.eu/esco/skill/54c8619a-3ae2-4e3c-8c05-a8f4586aa557,assist physiotherapists,Assist physiotherapists in the process involved in client management.,troubleshooting,0.45436686,advising,"This is a support role for physiotherapists, but assistance is not in the frozen taxonomy; it most closely resembles helping a principal rather than a standalone operation."
http://data.europa.eu/esco/skill/2450b273-bc3f-418f-862b-27c2309f4c54,work in fitness teams,Assist qualified fitness instructors and other workers in their duties.,teaching,0.45523334,representation,Supports qualified fitness instructors and other workers by making them more productive in their duties; this is direct assistance rather than teaching or coordination.
http://data.europa.eu/esco/skill/65a1c226-5d93-4fec-8a15-cb1b2ec4379f,work under supervision in care,Work under delegation and supervision of nurses to support nursing care and administration.,troubleshooting,0.45903665,teaching,"Supports nurses by carrying out delegated care and administrative tasks, making the principal clinician productive rather than independently advising or managing."
http://data.europa.eu/esco/skill/1bc718b6-ed90-4a9d-9fa7-8cec928a4581,use creative suite software,Use a creative software suite such as ''Adobe'' to aid in graphic designing.,creative_production,0.46108463,design,"This is a tool/software proficiency, not a work operation; it supports graphic design but does not itself perform a taxonomy action."
http://data.europa.eu/esco/skill/4f6b656a-54d0-48ce-9b55-ebcac5904a14,handle geospatial technologies,"Can use Geospatial Technologies which involve GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing) in the daily work.",analysis,0.46289283,design,"This is a tool/technology competency, not a work operation; it describes using GPS, GIS, and remote sensing rather than performing a specific task."
http://data.europa.eu/esco/skill/b805f989-14d5-46ad-80b0-755634b66dba,work in inclement conditions,Work outdoors in hot or cold circumstances.,emergency_response,0.46434215,fabrication,"This is a working condition or environmental tolerance, not a work operation that produces an output."
http://data.europa.eu/esco/skill/34783459-e867-4f50-90dd-fb020b543f43,provide assistance to airport users,Support and assist various types of airport customers.,emergency_response,0.46539342,advising,"Directly supports airport customers by helping them with their needs; this is client-facing assistance rather than teaching, advising, or administration."
http://data.europa.eu/esco/skill/83e97138-899a-4af8-9187-47823e875841,follow the statutory obligations,"Understand, abide by, and apply the statutory obligations of the company in the daily performance of the job.",inspection,0.46714774,record_keeping,"This is a compliance-oriented knowledge requirement/behavioral expectation, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/bca6e153-2209-4b36-9d05-4e0d382ffc57,manage outdoor resources,Recognise and relate meteorology to topography; apply the principal of ‘Leave no trace'.,coordination,0.4693205,administration,"This is a knowledge/competence item about environmental awareness and ethics, not a distinct work operation in the taxonomy."
http://data.europa.eu/esco/skill/33051fa7-bc25-4a75-80ae-c3b7cf5c744d,work independently in service of a food production process,Work individually as an important element in service of a food production process. This function is executed individually with little or no supervision or collaboration with colleagues.,protocol_execution,0.47050327,fabrication,"This is a work style trait about independent work, not a distinct operation in the taxonomy."
http://data.europa.eu/esco/skill/440f64e5-e66c-45ee-bc29-53c14a2ad720,use geographic information systems,Work with computer data systems such as Geographic Information Systems (GIS).,analysis,0.4733167,design,"This is a tool/domain competency about using GIS software, not a specific work operation with a distinct output."
