label_id,label_name,description,inclusion_examples,exclusion_examples,sibling_labels,cluster_or_method,frozen,example_onetsoc_tasks,notes
plan_experimental_or_operational_procedures,Plan Experimental or Operational Procedures,"Develop detailed plans, methods, or designs for experiments, processes, or operations to achieve specific objectives.",Prepare experimental plans for biofuels research | Design chemical conversion processes | Develop operating plans and schedules for geothermal operations,Supervise employees performing operations | Perform routine maintenance on equipment,"design_technical_systems_products_or_models,develop_or_modify_methods_techniques_or_tools,plan_organize_and_coordinate_activities_or_programs",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
supervise_or_manage_personnel_and_operations,Supervise or Manage Personnel and Operations,"Oversee, direct, or coordinate employees and operational activities to ensure effective performance, compliance with standards, and achievement of organizational goals.",Supervise production employees in manufacturing | Manage operations at biofuels power generation facilities | Supervise fitness or wellness specialists,Train employees on specific skills | Develop operational plans or budgets,"supervise_or_direct_personnel_and_activities,supervise_and_manage_personnel_or_teams,coordinate_and_manage_projects_or_operations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
prepare_or_produce_reports_and_documentation,Prepare or Produce Reports and Documentation,"Compile, write, or oversee the creation of reports, records, or documentation to communicate findings, status, or compliance.",Prepare biofuels research and development reports | Compile and prepare materials for grant submissions | Prepare technical reports for engineering or management use,Analyze data without producing formal reports | Supervise personnel activities,"prepare_draft_or_revise_formal_documents_or_reports,prepare_technical_or_research_reports_and_documentation,document_and_maintain_records_or_databases",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
adjust_or_operate_equipment_controls,Adjust or Operate Equipment Controls,Manipulate controls or settings on machinery or technical systems to achieve desired performance or output.,Adjust equipment controls to generate specified electrical power | Operate sterilizing devices | Adjust string tensions to tune musical instruments,Design or develop new equipment | Supervise equipment operators,"operate_equipment_or_machinery,maintain_repair_or_adjust_equipment_machinery_or_systems,adjust_process_parameters_or_equipment_settings",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
analyze_data_to_evaluate_or_improve_processes,Analyze Data to Evaluate or Improve Processes,"Examine, interpret, or assess data or information to identify trends, abnormalities, or opportunities for improvement.",Analyze data from biofuels studies | Evaluate athletes' skills and review performance records | Analyze financial data to detect irregularities,Collect data without analysis | Prepare reports without analysis,"analyze_data_or_information_to_evaluate_conditions_or_performance,analyze_data_to_evaluate_performance_or_inform_decisions,conduct_needs_assessments_or_strategic_evaluations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
review_and_ensure_compliance_with_standards_or_regulations,Review and Ensure Compliance with Standards or Regulations,"Examine documents, processes, or operations to verify adherence to applicable laws, standards, or policies.",Review biomass operations performance specifications for regulatory compliance | Ensure company compliance with federal and state laws | Review audit reports to monitor adequacy of internal routines,Develop new regulations or standards | Train others on compliance procedures,"evaluate_compliance_with_regulations_standards_or_policies,develop_and_implement_compliance_and_regulatory_strategies",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_or_modify_methods_techniques_or_tools,"Develop or Modify Methods, Techniques, or Tools","Create, improve, or adapt procedures, techniques, or tools to enhance effectiveness or efficiency of work.",Develop methods to estimate efficiency of biomass pretreatments | Design or develop automated testing tools | Develop recipes and menus to address special nutrition needs,Use existing methods without modification | Supervise personnel using methods,"develop_or_improve_technical_methods_and_tools,develop_or_improve_computational_tools_models_or_software",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
monitor_and_maintain_equipment_or_systems,Monitor and Maintain Equipment or Systems,"Observe, inspect, and perform routine upkeep or repairs on equipment or systems to ensure proper functioning.",Monitor and operate communications systems | Maintain or arrange for maintenance of fitness equipment | Clean and disinfect areas where bodies are prepared,Design new equipment or systems | Train others on equipment use,"monitor_and_inspect_equipment_systems_or_environments,maintain_repair_or_adjust_equipment_machinery_or_systems,operate_maintain_and_repair_technical_equipment_or_machinery",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
plan_organize_and_conduct_training_or_instructional_activities,"Plan, Organize, and Conduct Training or Instructional Activities","Develop and deliver educational or training programs to teach skills, knowledge, or procedures to individuals or groups.",Plan and conduct teacher training programs | Instruct participants in exercise routines | Teach art therapy techniques to interns or volunteers,Supervise training staff | Develop training materials without delivery,"train_instruct_or_mentor_individuals_or_groups,demonstrate_or_teach_the_use_of_equipment_or_techniques",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
evaluate_individuals_abilities_needs_or_progress,"Evaluate Individuals' Abilities, Needs, or Progress","Assess skills, conditions, or development of individuals to inform decisions or adjust plans.","Evaluate athletes' skills and potential | Interpret exercise program participant data | Monitor, evaluate, and record client progress in treatment",Provide instruction without evaluation | Compile data without assessment,"assess_diagnose_or_evaluate_conditions_or_needs,perform_diagnostic_assessments_and_interpret_results,track_monitor_or_evaluate_participation_performance_or_program_effectiveness",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_or_update_instructional_materials_or_curricula,Develop or Update Instructional Materials or Curricula,"Create, revise, or improve educational content, lesson plans, or curricula to meet learning objectives or standards.",Edit instructional materials such as lesson plans and tests | Update educational programs to ensure technological currency | Develop individualized treatment plans incorporating therapy techniques,Deliver instruction without material development | Supervise curriculum implementation,"plan_organize_and_conduct_training_or_instructional_activities,train_instruct_or_mentor_individuals_or_groups",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
arrange_or_set_up_physical_displays_or_environments,Arrange or Set Up Physical Displays or Environments,"Install, organize, or decorate physical spaces or exhibits according to plans or specifications.","Install booths, exhibits, or displays guided by floor plans | Dress mannequins for displays | Arrange furniture and merchandise as shown in sketches",Design display concepts without installation | Supervise display staff,"install_assemble_or_set_up_equipment_displays_or_systems,design_and_develop_visual_or_physical_displays_and_layouts",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
create_or_develop_visual_or_physical_designs,Create or Develop Visual or Physical Designs,"Produce drawings, models, or plans for visual, structural, or spatial elements to meet functional or aesthetic goals.",Prepare scale working drawings of sets | Create web models or prototypes including interface and data models | Design layout of craft interiors including cargo and passenger compartments,Install or assemble designed elements | Supervise design teams,"design_or_create_visual_or_physical_representations,design_and_develop_visual_or_physical_displays_and_layouts,design_or_draft_technical_drawings_and_specifications",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
collaborate_or_confer_with_stakeholders_to_coordinate_activities,Collaborate or Confer with Stakeholders to Coordinate Activities,"Engage in discussions or meetings with clients, colleagues, or other parties to share information, resolve issues, or plan work.",Confer with clients and art directors regarding artwork content | Collaborate with web development professionals to complete projects | Meet with union and company representatives to discuss labor relations,Perform individual technical tasks without consultation | Supervise meetings without active collaboration,"consult_or_collaborate_with_stakeholders_to_determine_requirements_or_solutions,conduct_needs_assessments_or_strategic_evaluations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
conduct_needs_assessments_or_strategic_evaluations,Conduct Needs Assessments or Strategic Evaluations,"Gather and analyze information to identify requirements, gaps, or opportunities for program or process development.",Conduct needs assessments for curriculum development | Evaluate selection or testing techniques by research | Analyze or synthesize client data to make therapy recommendations,Implement programs without assessment | Collect data without analysis,"analyze_data_to_evaluate_or_improve_processes,evaluate_individuals_abilities_needs_or_progress",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
provide_counseling_advice_or_support,"Provide Counseling, Advice, or Support","Offer guidance, information, or emotional support to help clients or stakeholders address personal, social, or professional issues.","Provide counseling to patients and family members | Advise patients on diet, activity, and disease prevention | Counsel family members to assist in supporting clients",Conduct medical treatments or procedures | Supervise counseling staff,"provide_counseling_guidance_or_support_services,refer_clients_or_patients_to_specialists_or_other_services",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_or_implement_treatment_or_rehabilitation_plans,Develop or Implement Treatment or Rehabilitation Plans,"Create and apply individualized plans to improve health, function, or well-being based on assessments and client needs.",Develop exercise programs to improve participant strength and endurance | Develop rehabilitation plans fitting clients' aptitudes and goals | Modify treatment plans to comply with changes in client status,Provide general instruction without individualized planning | Supervise treatment staff,"provide_treatment_therapy_or_specialized_care,assess_diagnose_or_evaluate_conditions_or_needs",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
collect_record_or_maintain_data_and_records,"Collect, Record, or Maintain Data and Records","Gather, enter, organize, or update information in physical or electronic formats for documentation or analysis purposes.",Maintain records of invoices and support documents | Record employee information to update payroll records | Compile medical care and census data for statistical reports,Analyze data without recording | Supervise data entry staff,"document_and_maintain_records_or_databases,compile_and_record_operational_or_transactional_data,collect_prepare_or_manage_specialized_data_or_records",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
process_or_verify_applications_claims_or_transactions,"Process or Verify Applications, Claims, or Transactions","Review, compute, authorize, or approve requests or documents related to benefits, loans, or other formal processes.",Compute and authorize amounts of assistance for government programs | Review loan agreements for completeness and accuracy | Schedule benefits claimants for adjudication interviews,Collect data without processing | Supervise application processing staff,"prepare_or_process_legal_regulatory_or_official_documents,prepare_or_administer_budgets_financial_plans_or_cost_analyses",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
negotiate_agreements_or_contracts,Negotiate Agreements or Contracts,"Discuss and reach mutually acceptable terms for contracts, settlements, or other formal agreements.",Negotiate collective bargaining agreements | Negotiate contracts for prearranged funeral services | Recommend acceptance or rejection of compromise settlement offers,Draft contracts without negotiation | Supervise negotiation teams,"consult_and_advise_stakeholders_on_specialized_topics,coordinate_and_manage_projects_or_operations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
investigate_examine_or_inspect_to_gather_evidence_or_assess_conditions,"Investigate, Examine, or Inspect to Gather Evidence or Assess Conditions","Conduct detailed inquiries, observations, or tests to collect information for analysis, compliance, or decision-making.",Investigate and assess damage to property | Inspect buildings for fire protection system requirements | Examine and analyze blood stain patterns at crime scenes,Analyze data without field investigation | Supervise investigative staff,"conduct_investigations_and_gather_evidence,investigate_mediate_or_resolve_disputes_or_complaints",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
test_measure_or_calibrate_equipment_or_materials,"Test, Measure, or Calibrate Equipment or Materials","Perform technical procedures to evaluate, adjust, or verify the performance or characteristics of equipment or substances.",Test programs or databases and correct errors | Calibrate nanotechnology equipment | Conduct chemical analysis of body fluids,Operate equipment without testing | Supervise testing activities,"sample_or_test_products_or_materials_for_quality_control,conduct_experiments_or_tests_to_evaluate_processes_or_products",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
